Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,1021,1021,1055,9,34,25,0
Process-2,2,3230,3230,3252,3,22,19,0
Process-3,3,3247,3247,3249,2,2,0,0
Process-4,2,2656,2656,2745,7,89,82,0
Process-5,2,2401,2401,2417,7,16,9,0
Process-6,2,1686,1686,1816,7,130,123,0
Process-7,3,1092,1092,1117,2,25,23,0
Process-8,3,4802,4802,4804,1,2,1,0
Process-9,2,252,252,271,8,19,11,0
Process-10,5,914,914,918,4,4,0,0
Process-11,3,2620,2620,2645,5,25,20,0
Process-12,5,3883,3883,3890,7,7,0,0
Process-13,1,1544,1544,1649,4,105,101,0
Process-14,2,1930,1930,1956,1,26,25,0
Process-15,1,817,817,892,10,75,65,0
Process-16,4,521,521,527,4,6,2,0
Process-17,3,2978,2978,2988,9,10,1,0
Process-18,4,2037,2037,2040,2,3,1,0
Process-19,2,703,703,721,3,18,15,0
Process-20,1,4287,4287,4575,1,288,287,0
Process-21,2,584,584,596,10,12,2,0
Process-22,4,1325,1325,1333,5,8,3,0
Process-23,4,9,9,18,9,9,0,0
Process-24,2,5015,5015,5089,9,74,65,0
Process-25,3,2927,2927,2933,6,6,0,0
Process-26,3,2895,2895,2897,1,2,1,0
Process-27,5,2597,2597,2605,1,8,7,0
Process-28,2,2782,2782,2823,2,41,39,0
Process-29,3,3236,3236,3241,4,5,1,0
Process-30,1,699,699,728,6,29,23,0
Process-31,4,1499,1499,1506,7,7,0,0
Process-32,3,4621,4621,4637,10,16,6,0
Process-33,5,74,74,86,10,12,2,0
Process-34,3,1687,1687,1745,5,58,53,0
Process-35,3,3335,3335,3347,2,12,10,0
Process-36,1,98,98,306,9,208,199,0
Process-37,5,903,903,904,1,1,0,0
Process-38,5,4090,4090,4095,4,5,1,0
Process-39,5,1853,1853,1864,4,11,7,0
Process-40,5,2716,2716,2720,4,4,0,0
Process-41,4,3381,3381,3403,10,22,12,0
Process-42,4,23,23,34,9,11,2,0
Process-43,4,2085,2085,2091,4,6,2,0
Process-44,3,4785,4785,4803,2,18,16,0
Process-45,5,4285,4285,4300,8,15,7,0
Process-46,1,4449,4449,4733,2,284,282,0
Process-47,5,1518,1518,1523,1,5,4,0
Process-48,5,4117,4117,4130,4,13,9,0
Process-49,4,3073,3073,3081,8,8,0,0
Process-50,1,3009,3009,3214,4,205,201,0
Process-51,2,3527,3527,3572,5,45,40,0
Process-52,4,1103,1103,1109,1,6,5,0
Process-53,5,981,981,993,6,12,6,0
Process-54,1,1829,1829,2173,5,344,339,0
Process-55,3,865,865,875,10,10,0,0
Process-56,3,4748,4748,4773,1,25,24,0
Process-57,4,1157,1157,1166,4,9,5,0
Process-58,3,361,361,363,2,2,0,0
Process-59,3,734,734,747,7,13,6,0
Process-60,2,998,998,1088,6,90,84,0
Process-61,4,647,647,654,2,7,5,0
Process-62,4,3703,3703,3705,1,2,1,0
Process-63,4,3246,3246,3247,1,1,0,0
Process-64,5,656,656,664,1,8,7,0
Process-65,5,1557,1557,1562,5,5,0,0
Process-66,4,2362,2362,2370,5,8,3,0
Process-67,5,768,768,786,9,18,9,0
Process-68,3,222,222,235,1,13,12,0
Process-69,3,1699,1699,1753,8,54,46,0
Process-70,2,5010,5010,5063,1,53,52,0
Process-71,5,5162,5162,5172,3,10,7,0
Process-72,5,1738,1738,1740,2,2,0,0
Process-73,5,3953,3953,3961,8,8,0,0
Process-74,1,4492,4492,4812,8,320,312,0
Process-75,4,3388,3388,3421,10,33,23,0
Process-76,3,295,295,297,2,2,0,0
Process-77,5,1197,1197,1216,10,19,9,0
Process-78,5,4777,4777,4793,10,16,6,0
Process-79,1,212,212,419,5,207,202,0
Process-80,4,5279,5279,5282,1,3,2,0
Process-81,2,1104,1104,1178,3,74,71,0
Process-82,4,4338,4338,4354,7,16,9,0
Process-83,1,4062,4062,4097,2,35,33,0
Process-84,2,2812,2812,2832,9,20,11,0
Process-85,3,3536,3536,3546,4,10,6,0
Process-86,4,542,542,561,4,19,15,0
Process-87,3,3220,3220,3226,3,6,3,0
Process-88,2,4019,4019,4025,2,6,4,0
Process-89,3,704,704,713,9,9,0,0
Process-90,4,2542,2542,2549,5,7,2,0
Process-91,2,119,119,157,6,38,32,0
Process-92,5,2854,2854,2862,2,8,6,0
Process-93,4,376,376,382,2,6,4,0
Process-94,2,805,805,816,2,11,9,0
Process-95,4,3266,3266,3273,3,7,4,0
Process-96,5,2089,2089,2100,9,11,2,0
Process-97,5,117,117,124,5,7,2,0
Process-98,4,2858,2858,2869,7,11,4,0
Process-99,3,3392,3392,3458,8,66,58,0
Process-100,3,862,862,865,3,3,0,0
Process-101,5,715,715,718,2,3,1,0
Process-102,2,555,555,567,6,12,6,0
Process-103,2,315,315,332,6,17,11,0
Process-104,4,4476,4476,4484,7,8,1,0
Process-105,3,4976,4976,4982,5,6,1,0
Process-106,4,4190,4190,4195,2,5,3,0
Process-107,3,1402,1402,1407,5,5,0,0
Process-108,4,1108,1108,1115,6,7,1,0
Process-109,3,1661,1661,1704,6,43,37,0
Process-110,4,4182,4182,4193,4,11,7,0
Process-111,5,4340,4340,4347,6,7,1,0
Process-112,5,4536,4536,4540,3,4,1,0
Process-113,1,5409,5409,5447,5,38,33,0
Process-114,2,5289,5289,5339,7,50,43,0
Process-115,4,3148,3148,3155,3,7,4,0
Process-116,3,1503,1503,1545,2,42,40,0
Process-117,1,25,25,42,1,17,16,0
Process-118,2,1229,1229,1340,6,111,105,0
Process-119,1,4582,4582,4849,9,267,258,0
Process-120,3,1187,1187,1199,10,12,2,0
Process-121,5,1564,1564,1570,5,6,1,0
Process-122,1,1284,1284,1493,7,209,202,0
Process-123,3,4599,4599,4617,6,18,12,0
Process-124,5,5283,5283,5292,5,9,4,0
Process-125,1,5450,5450,5521,2,71,69,0
Process-126,3,1054,1054,1067,2,13,11,0
Process-127,4,1867,1867,1886,9,19,10,0
Process-128,1,246,246,437,6,191,185,0
Process-129,5,411,411,414,2,3,1,0
Process-130,5,4911,4911,4919,1,8,7,0
Process-131,3,72,72,105,7,33,26,0
Process-132,3,4431,4431,4439,3,8,5,0
Process-133,5,1184,1184,1189,4,5,1,0
Process-134,5,2328,2328,2339,9,11,2,0
Process-135,3,4706,4706,4711,1,5,4,0
Process-136,3,219,219,228,6,9,3,0
Process-137,4,4097,4097,4109,9,12,3,0
Process-138,2,429,429,431,2,2,0,0
Process-139,3,2212,2212,2224,9,12,3,0
Process-140,2,3438,3438,3552,1,114,113,0
Process-141,1,4768,4768,5124,3,356,353,0
Process-142,1,1625,1625,1971,4,346,342,0
Process-143,3,264,264,279,5,15,10,0
Process-144,5,2600,2600,2612,7,12,5,0
Process-145,4,5341,5341,5353,9,12,3,0
Process-146,5,3512,3512,3526,7,14,7,0
Process-147,5,5174,5174,5179,1,5,4,0
Process-148,1,237,237,426,7,189,182,0
Process-149,2,207,207,259,7,52,45,0
Process-150,4,3006,3006,3019,5,13,8,0
Process-151,2,5318,5318,5376,8,58,50,0
Process-152,1,4298,4298,4582,6,284,278,0
Process-153,3,5328,5328,5332,3,4,1,0
Process-154,5,4172,4172,4181,9,9,0,0
Process-155,4,677,677,696,5,19,14,0
Process-156,5,3933,3933,3944,7,11,4,0
Process-157,1,4529,4529,4840,3,311,308,0
Process-158,2,2334,2334,2365,5,31,26,0
Process-159,1,592,592,722,1,130,129,0
Process-160,5,436,436,452,7,16,9,0
Process-161,2,5457,5457,5466,9,9,0,0
Process-162,1,5267,5267,5406,3,139,136,0
Process-163,1,5393,5393,5416,6,23,17,0
Process-164,2,353,353,368,5,15,10,0
Process-165,5,3530,3530,3532,1,2,1,0
Process-166,3,2476,2476,2484,8,8,0,0
Process-167,4,593,593,606,10,13,3,0
Process-168,1,312,312,505,9,193,184,0
Process-169,1,511,511,639,3,128,125,0
Process-170,5,1540,1540,1543,3,3,0,0
Process-171,3,2826,2826,2841,9,15,6,0
Process-172,3,1083,1083,1108,10,25,15,0
Process-173,1,1114,1114,1442,3,328,325,0
Process-174,5,728,728,730,2,2,0,0
Process-175,1,58,58,67,9,9,0,0
Process-176,3,3317,3317,3329,8,12,4,0
Process-177,5,3195,3195,3203,4,8,4,0
Process-178,3,3819,3819,3827,8,8,0,0
Process-179,5,5021,5021,5031,9,10,1,0
Process-180,1,968,968,978,8,10,2,0
Process-181,5,1838,1838,1857,9,19,10,0
Process-182,5,3915,3915,3921,6,6,0,0
Process-183,5,4042,4042,4046,1,4,3,0
Process-184,2,4763,4763,4783,10,20,10,0
Process-185,2,642,642,652,10,10,0,0
Process-186,4,931,931,944,4,13,9,0
Process-187,3,2701,2701,2721,1,20,19,0
Process-188,3,3655,3655,3664,2,9,7,0
Process-189,3,3409,3409,3483,9,74,65,0
Process-190,5,265,265,274,3,9,6,0
Process-191,5,1520,1520,1528,5,8,3,0
Process-192,5,3112,3112,3123,6,11,5,0
Process-193,2,2680,2680,2749,4,69,65,0
Process-194,1,2678,2678,2845,1,167,166,0
Process-195,1,435,435,518,8,83,75,0
Process-196,2,1716,1716,1823,7,107,100,0
Process-197,5,1793,1793,1797,1,4,3,0
Process-198,4,1707,1707,1728,8,21,13,0
Process-199,2,2098,2098,2124,6,26,20,0
Process-200,5,1983,1983,1987,3,4,1,0
Process-201,4,3642,3642,3645,3,3,0,0
Process-202,3,5166,5166,5193,1,27,26,0
Process-203,5,4071,4071,4079,6,8,2,0
Process-204,1,956,956,970,3,14,11,0
Process-205,2,5296,5296,5354,1,58,57,0
Process-206,4,4479,4479,4498,7,19,12,0
Process-207,5,4548,4548,4552,3,4,1,0
Process-208,4,4744,4744,4755,2,11,9,0
Process-209,3,1882,1882,1910,1,28,27,0
Process-210,4,1010,1010,1025,8,15,7,0
Process-211,4,1084,1084,1097,9,13,4,0
Process-212,2,1654,1654,1665,10,11,1,0
Process-213,1,1135,1135,1462,8,327,319,0
Process-214,1,4129,4129,4211,8,82,74,0
Process-215,5,5130,5130,5139,6,9,3,0
Process-216,4,3935,3935,3953,9,18,9,0
Process-217,3,2988,2988,2997,9,9,0,0
Process-218,3,3941,3941,3999,9,58,49,0
Process-219,2,1504,1504,1581,7,77,70,0
Process-220,3,3454,3454,3534,2,80,78,0
Process-221,1,1849,1849,2191,4,342,338,0
Process-222,5,4823,4823,4825,2,2,0,0
Process-223,3,2768,2768,2788,8,20,12,0
Process-224,3,4118,4118,4131,1,13,12,0
Process-225,1,2549,2549,2560,6,11,5,0
Process-226,5,795,795,811,9,16,7,0
Process-227,1,753,753,847,4,94,90,0
Process-228,1,3562,3562,3678,1,116,115,0
Process-229,4,2611,2611,2614,2,3,1,0
Process-230,5,4881,4881,4889,8,8,0,0
Process-231,4,5466,5466,5482,5,16,11,0
Process-232,3,3004,3004,3014,10,10,0,0
Process-233,1,1799,1799,2135,10,336,326,0
Process-234,3,1005,1005,1064,9,59,50,0
Process-235,2,4410,4410,4501,3,91,88,0
Process-236,1,3919,3919,3925,4,6,2,0
Process-237,3,2048,2048,2080,8,32,24,0
Process-238,2,3354,3354,3361,7,7,0,0
Process-239,2,84,84,150,5,66,61,0
Process-240,4,2704,2704,2715,3,11,8,0
Process-241,4,1701,1701,1710,6,9,3,0
Process-242,5,3574,3574,3582,8,8,0,0
Process-243,3,1532,1532,1556,4,24,20,0
Process-244,5,4096,4096,4100,3,4,1,0
Process-245,4,1259,1259,1276,8,17,9,0
Process-246,2,4966,4966,4970,1,4,3,0
Process-247,3,5146,5146,5183,4,37,33,0
Process-248,2,5478,5478,5515,10,37,27,0
Process-249,1,4670,4670,4995,9,325,316,0
Process-250,4,1351,1351,1354,3,3,0,0
Process-251,2,3322,3322,3349,2,27,25,0
