Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,1021,1021,1055,9,34,25,8
Process-2,2,3230,3230,3252,3,22,19,2
Process-3,3,3247,3247,3249,2,2,0,1
Process-4,2,2656,2656,2740,7,84,77,6
Process-5,2,2401,2401,2423,7,22,15,6
Process-6,2,1686,1686,1815,7,129,122,6
Process-7,3,1092,1092,1106,2,14,12,1
Process-8,3,4802,4802,4803,1,1,0,0
Process-9,2,252,252,276,8,24,16,7
Process-10,5,914,914,918,4,4,0,3
Process-11,3,2620,2620,2636,5,16,11,4
Process-12,5,3883,3883,3890,7,7,0,6
Process-13,1,1544,1544,1649,4,105,101,3
Process-14,2,1930,1930,1955,1,25,24,0
Process-15,1,817,817,894,10,77,67,9
Process-16,4,521,521,530,4,9,5,3
Process-17,3,2978,2978,2987,9,9,0,8
Process-18,4,2037,2037,2039,2,2,0,1
Process-19,2,703,703,720,3,17,14,2
Process-20,1,4287,4287,4575,1,288,287,0
Process-21,2,584,584,604,10,20,10,9
Process-22,4,1325,1325,1330,5,5,0,4
Process-23,4,9,9,18,9,9,0,8
Process-24,2,5015,5015,5082,9,67,58,8
Process-25,3,2927,2927,2933,6,6,0,5
Process-26,3,2895,2895,2896,1,1,0,0
Process-27,5,2597,2597,2600,1,3,2,0
Process-28,2,2782,2782,2818,2,36,34,1
Process-29,3,3236,3236,3240,4,4,0,3
Process-30,1,699,699,728,6,29,23,5
Process-31,4,1499,1499,1513,7,14,7,6
Process-32,3,4621,4621,4634,10,13,3,9
Process-33,5,74,74,84,10,10,0,9
Process-34,3,1687,1687,1736,5,49,44,4
Process-35,3,3335,3335,3346,2,11,9,1
Process-36,1,98,98,332,9,234,225,8
Process-37,5,903,903,904,1,1,0,0
Process-38,5,4090,4090,4094,4,4,0,3
Process-39,5,1853,1853,1861,4,8,4,3
Process-40,5,2716,2716,2720,4,4,0,3
Process-41,4,3381,3381,3396,10,15,5,9
Process-42,4,23,23,41,9,18,9,8
Process-43,4,2085,2085,2089,4,4,0,3
Process-44,3,4785,4785,4797,2,12,10,1
Process-45,5,4285,4285,4298,8,13,5,7
Process-46,1,4449,4449,4733,2,284,282,1
Process-47,5,1518,1518,1519,1,1,0,0
Process-48,5,4117,4117,4122,4,5,1,3
Process-49,4,3073,3073,3081,8,8,0,7
Process-50,1,3009,3009,3214,4,205,201,3
Process-51,2,3527,3527,3565,5,38,33,4
Process-52,4,1103,1103,1104,1,1,0,0
Process-53,5,981,981,987,6,6,0,5
Process-54,1,1829,1829,2173,5,344,339,4
Process-55,3,865,865,881,10,16,6,9
Process-56,3,4748,4748,4750,1,2,1,0
Process-57,4,1157,1157,1161,4,4,0,3
Process-58,3,361,361,363,2,2,0,1
Process-59,3,734,734,741,7,7,0,6
Process-60,2,998,998,1108,6,110,104,5
Process-61,4,647,647,649,2,2,0,1
Process-62,4,3703,3703,3704,1,1,0,0
Process-63,4,3246,3246,3247,1,1,0,0
Process-64,5,656,656,657,1,1,0,0
Process-65,5,1557,1557,1562,5,5,0,4
Process-66,4,2362,2362,2367,5,5,0,4
Process-67,5,768,768,785,9,17,8,8
Process-68,3,222,222,235,1,13,12,0
Process-69,3,1699,1699,1746,8,47,39,7
Process-70,2,5010,5010,5017,1,7,6,0
Process-71,5,5162,5162,5168,3,6,3,2
Process-72,5,1738,1738,1740,2,2,0,1
Process-73,5,3953,3953,3961,8,8,0,7
Process-74,1,4492,4492,4812,8,320,312,7
Process-75,4,3388,3388,3414,10,26,16,9
Process-76,3,295,295,297,2,2,0,1
Process-77,5,1197,1197,1208,10,11,1,9
Process-78,5,4777,4777,4787,10,10,0,9
Process-79,1,212,212,419,5,207,202,4
Process-80,4,5279,5279,5280,1,1,0,0
Process-81,2,1104,1104,1175,3,71,68,2
Process-82,4,4338,4338,4351,7,13,6,6
Process-83,1,4062,4062,4109,2,47,45,1
Process-84,2,2812,2812,2839,9,27,18,8
Process-85,3,3536,3536,3540,4,4,0,3
Process-86,4,542,542,555,4,13,9,3
Process-87,3,3220,3220,3223,3,3,0,2
Process-88,2,4019,4019,4023,2,4,2,1
Process-89,3,704,704,713,9,9,0,8
Process-90,4,2542,2542,2547,5,5,0,4
Process-91,2,119,119,153,6,34,28,5
Process-92,5,2854,2854,2856,2,2,0,1
Process-93,4,376,376,378,2,2,0,1
Process-94,2,805,805,812,2,7,5,1
Process-95,4,3266,3266,3270,3,4,1,2
Process-96,5,2089,2089,2098,9,9,0,8
Process-97,5,117,117,122,5,5,0,4
Process-98,4,2858,2858,2872,7,14,7,6
Process-99,3,3392,3392,3451,8,59,51,7
Process-100,3,862,862,865,3,3,0,2
Process-101,5,715,715,717,2,2,0,1
Process-102,2,555,555,561,6,6,0,5
Process-103,2,315,315,331,6,16,10,5
Process-104,4,4476,4476,4490,7,14,7,6
Process-105,3,4976,4976,4981,5,5,0,4
Process-106,4,4190,4190,4192,2,2,0,1
Process-107,3,1402,1402,1407,5,5,0,4
Process-108,4,1108,1108,1114,6,6,0,5
Process-109,3,1661,1661,1671,6,10,4,5
Process-110,4,4182,4182,4186,4,4,0,3
Process-111,5,4340,4340,4346,6,6,0,5
Process-112,5,4536,4536,4539,3,3,0,2
Process-113,1,5409,5409,5447,5,38,33,4
Process-114,2,5289,5289,5335,7,46,39,6
Process-115,4,3148,3148,3151,3,3,0,2
Process-116,3,1503,1503,1544,2,41,39,1
Process-117,1,25,25,42,1,17,16,0
Process-118,2,1229,1229,1337,6,108,102,5
Process-119,1,4582,4582,4849,9,267,258,8
Process-120,3,1187,1187,1223,10,36,26,9
Process-121,5,1564,1564,1569,5,5,0,4
Process-122,1,1284,1284,1588,7,304,297,6
Process-123,3,4599,4599,4612,6,13,7,5
Process-124,5,5283,5283,5288,5,5,0,4
Process-125,1,5450,5450,5521,2,71,69,1
Process-126,3,1054,1054,1067,2,13,11,1
Process-127,4,1867,1867,1883,9,16,7,8
Process-128,1,246,246,467,6,221,215,5
Process-129,5,411,411,414,2,3,1,1
Process-130,5,4911,4911,4912,1,1,0,0
Process-131,3,72,72,101,7,29,22,6
Process-132,3,4431,4431,4434,3,3,0,2
Process-133,5,1184,1184,1188,4,4,0,3
Process-134,5,2328,2328,2337,9,9,0,8
Process-135,3,4706,4706,4707,1,1,0,0
Process-136,3,219,219,228,6,9,3,5
Process-137,4,4097,4097,4108,9,11,2,8
Process-138,2,429,429,431,2,2,0,1
Process-139,3,2212,2212,2221,9,9,0,8
Process-140,2,3438,3438,3545,1,107,106,0
Process-141,1,4768,4768,5124,3,356,353,2
Process-142,1,1625,1625,1981,4,356,352,3
Process-143,3,264,264,272,5,8,3,4
Process-144,5,2600,2600,2607,7,7,0,6
Process-145,4,5341,5341,5353,9,12,3,8
Process-146,5,3512,3512,3519,7,7,0,6
Process-147,5,5174,5174,5175,1,1,0,0
Process-148,1,237,237,429,7,192,185,6
Process-149,2,207,207,256,7,49,42,6
Process-150,4,3006,3006,3011,5,5,0,4
Process-151,2,5318,5318,5374,8,56,48,7
Process-152,1,4298,4298,4582,6,284,278,5
Process-153,3,5328,5328,5331,3,3,0,2
Process-154,5,4172,4172,4181,9,9,0,8
Process-155,4,677,677,691,5,14,9,4
Process-156,5,3933,3933,3940,7,7,0,6
Process-157,1,4529,4529,4840,3,311,308,2
Process-158,2,2334,2334,2370,5,36,31,4
Process-159,1,592,592,722,1,130,129,0
Process-160,5,436,436,451,7,15,8,6
Process-161,2,5457,5457,5488,9,31,22,8
Process-162,1,5267,5267,5406,3,139,136,2
Process-163,1,5393,5393,5442,6,49,43,5
Process-164,2,353,353,368,5,15,10,4
Process-165,5,3530,3530,3531,1,1,0,0
Process-166,3,2476,2476,2484,8,8,0,7
Process-167,4,593,593,603,10,10,0,9
Process-168,1,312,312,509,9,197,188,8
Process-169,1,511,511,639,3,128,125,2
Process-170,5,1540,1540,1543,3,3,0,2
Process-171,3,2826,2826,2835,9,9,0,8
Process-172,3,1083,1083,1103,10,20,10,9
Process-173,1,1114,1114,1446,3,332,329,2
Process-174,5,728,728,730,2,2,0,1
Process-175,1,58,58,295,9,237,228,8
