Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-136,3,219,219,293,6,74,68,0
Process-137,4,4097,4097,4128,9,31,22,0
Process-138,2,429,429,455,2,26,24,0
Process-139,3,2212,2212,2224,9,12,3,0
Process-140,2,3438,3438,3540,1,102,101,0
Process-141,1,4768,4768,4871,3,103,100,0
Process-142,1,1625,1625,1658,4,33,29,0
Process-143,3,264,264,336,5,72,67,0
Process-144,5,2600,2600,2623,7,23,16,0
Process-145,4,5341,5341,5399,9,58,49,0
Process-146,5,3512,3512,3588,7,76,69,0
Process-147,5,5174,5174,5254,1,80,79,0
Process-148,1,237,237,307,7,70,63,0
Process-149,2,207,207,273,7,66,59,0
Process-150,4,3006,3006,3035,5,29,24,0
Process-151,2,5318,5318,5381,8,63,55,0
Process-152,1,4298,4298,4342,6,44,38,0
Process-153,3,5328,5328,5385,3,57,54,0
Process-154,5,4172,4172,4208,9,36,27,0
Process-155,4,677,677,692,5,15,10,0
Process-156,5,3933,3933,3949,7,16,9,0
Process-157,1,4529,4529,4664,3,135,132,0
Process-158,2,2334,2334,2353,5,19,14,0
Process-159,1,592,592,626,1,34,33,0
Process-160,5,436,436,471,7,35,28,0
Process-161,2,5457,5457,5468,9,11,2,0
Process-162,1,5267,5267,5306,3,39,36,0
Process-163,1,5393,5393,5416,6,23,17,0
Process-164,2,353,353,427,5,74,69,0
Process-165,5,3530,3530,3599,1,69,68,0
Process-166,3,2476,2476,2484,8,8,0,0
Process-167,4,593,593,636,10,43,33,0
Process-168,1,312,312,381,9,69,60,0
Process-169,1,511,511,547,3,36,33,0
Process-170,5,1540,1540,1593,3,53,50,0
Process-171,3,2826,2826,2844,9,18,9,0
Process-172,3,1083,1083,1152,10,69,59,0
Process-173,1,1114,1114,1182,3,68,65,0
Process-174,5,728,728,745,2,17,15,0
Process-175,1,58,58,67,9,9,0,0
Process-176,3,3317,3317,3365,8,48,40,0
Process-177,5,3195,3195,3245,4,50,46,0
Process-178,3,3819,3819,3827,8,8,0,0
Process-179,5,5021,5021,5090,9,69,60,0
Process-180,1,968,968,978,8,10,2,0
Process-181,5,1838,1838,1949,9,111,102,0
Process-182,5,3915,3915,3921,6,6,0,0
Process-183,5,4042,4042,4063,1,21,20,0
Process-184,2,4763,4763,4868,10,105,95,0
Process-185,2,642,642,669,10,27,17,0
Process-186,4,931,931,944,4,13,9,0
Process-187,3,2701,2701,2723,1,22,21,0
Process-188,3,3655,3655,3670,2,15,13,0
Process-189,3,3409,3409,3484,9,75,66,0
Process-190,5,265,265,339,3,74,71,0
Process-191,5,1520,1520,1586,5,66,61,0
Process-192,5,3112,3112,3193,6,81,75,0
Process-193,2,2680,2680,2703,4,23,19,0
Process-194,1,2678,2678,2699,1,21,20,0
Process-195,1,435,435,463,8,28,20,0
Process-196,2,1716,1716,1789,7,73,66,0
Process-197,5,1793,1793,1869,1,76,75,0
Process-198,4,1707,1707,1779,8,72,64,0
Process-199,2,2098,2098,2167,6,69,63,0
Process-200,5,1983,1983,2058,3,75,72,0
Process-201,4,3642,3642,3668,3,26,23,0
Process-202,3,5166,5166,5246,1,80,79,0
Process-203,5,4071,4071,4089,6,18,12,0
Process-204,1,956,956,970,3,14,11,0
Process-205,2,5296,5296,5357,1,61,60,0
Process-206,4,4479,4479,4600,7,121,114,0
Process-207,5,4548,4548,4672,3,124,121,0
Process-208,4,4744,4744,4840,2,96,94,0
