Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-135,2,4180,4180,4210,1,30,29,0
Process-136,4,2600,2600,2763,6,163,157,0
Process-137,5,5249,5249,5256,2,7,5,0
Process-138,5,1571,1571,1660,6,89,83,0
Process-139,1,527,527,545,1,18,17,0
Process-140,4,895,895,966,6,71,65,0
Process-141,4,5078,5078,5117,5,39,34,0
Process-142,5,824,824,894,7,70,63,0
Process-143,1,4307,4307,4342,2,35,33,0
Process-144,2,3095,3095,3147,2,52,50,0
Process-145,5,1299,1299,1389,9,90,81,0
Process-146,3,4766,4766,4780,9,14,5,0
Process-147,4,3104,3104,3181,3,77,74,0
Process-148,1,26,26,46,6,20,14,0
Process-149,4,5445,5445,5451,1,6,5,0
Process-150,5,1093,1093,1172,9,79,70,0
Process-151,1,247,247,255,1,8,7,0
Process-152,2,4851,4851,4855,4,4,0,0
Process-153,1,3286,3286,3369,3,83,80,0
Process-154,2,4640,4640,4656,2,16,14,0
Process-155,5,3885,3885,4086,6,201,195,0
Process-156,2,689,689,739,7,50,43,0
Process-157,3,3629,3629,3978,10,349,339,0
Process-158,3,3602,3602,3631,1,29,28,0
Process-159,2,3185,3185,3274,3,89,86,0
Process-160,1,4671,4671,4687,4,16,12,0
Process-161,4,1980,1980,2035,2,55,53,0
Process-162,1,2444,2444,2651,8,207,199,0
Process-163,4,134,134,190,6,56,50,0
Process-164,5,2099,2099,2295,8,196,188,0
Process-165,1,3795,3795,4095,9,300,291,0
Process-166,4,3914,3914,4196,10,282,272,0
Process-167,4,1468,1468,1484,1,16,15,0
Process-168,4,1638,1638,1866,9,228,219,0
Process-169,3,263,263,279,2,16,14,0
Process-170,1,1355,1355,1447,10,92,82,0
Process-171,3,3751,3751,4068,10,317,307,0
Process-172,5,2894,2894,2953,2,59,57,0
Process-173,1,1880,1880,2020,5,140,135,0
Process-174,2,2266,2266,2418,6,152,146,0
Process-175,3,2243,2243,2276,1,33,32,0
Process-176,3,4489,4489,4534,4,45,41,0
Process-177,4,2412,2412,2704,10,292,282,0
Process-178,1,4092,4092,4134,1,42,41,0
Process-179,4,5244,5244,5278,8,34,26,0
Process-180,2,2106,2106,2318,8,212,204,0
Process-181,3,1763,1763,1897,5,134,129,0
Process-182,3,1496,1496,1551,4,55,51,0
Process-183,4,2437,2437,2471,1,34,33,0
Process-184,3,4970,4970,5041,7,71,64,0
Process-185,3,2972,2972,3211,10,239,229,0
Process-186,2,499,499,590,8,91,83,0
Process-187,3,3701,3701,4037,10,336,326,0
Process-188,3,3067,3067,3092,1,25,24,0
Process-189,1,718,718,774,10,56,46,0
Process-190,1,899,899,1003,8,104,96,0
Process-191,2,4310,4310,4403,9,93,84,0
Process-192,3,558,558,626,10,68,58,0
Process-193,2,4829,4829,4834,5,5,0,0
Process-194,2,1137,1137,1212,9,75,66,0
Process-195,2,138,138,167,4,29,25,0
Process-196,3,2102,2102,2238,6,136,130,0
Process-197,2,1587,1587,1665,5,78,73,0
Process-198,2,5262,5262,5284,6,22,16,0
Process-199,4,2847,2847,3037,8,190,182,0
Process-200,4,4081,4081,4283,8,202,194,0
Process-201,2,4952,4952,5001,7,49,42,0
Process-202,1,1813,1813,2028,8,215,207,0
Process-203,5,3407,3407,3492,3,85,82,0
Process-204,5,1616,1616,1727,6,111,105,0
Process-205,5,2793,2793,2922,5,129,124,0
Process-206,4,3865,3865,4002,4,137,133,0
Process-207,1,1368,1368,1420,6,52,46,0
Process-208,5,397,397,417,2,20,18,0
