Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,1021,1021,1133,9,112,103,2
Process-2,2,3230,3230,3269,3,39,36,0
Process-3,3,3247,3247,3294,2,47,45,0
Process-4,2,2656,2656,2706,7,50,43,1
Process-5,2,2401,2401,2415,7,14,7,1
Process-6,2,1686,1686,1742,7,56,49,1
Process-7,3,1092,1092,1135,2,43,41,0
Process-8,3,4802,4802,4871,1,69,68,0
Process-9,2,252,252,361,8,109,101,1
Process-10,5,914,914,918,4,4,0,0
Process-11,3,2620,2620,2635,5,15,10,1
Process-12,5,3883,3883,3890,7,7,0,1
Process-13,1,1544,1544,1586,4,42,38,0
Process-14,2,1930,1930,2001,1,71,70,0
Process-15,1,817,817,872,10,55,45,2
Process-16,4,521,521,552,4,31,27,0
Process-17,3,2978,2978,3010,9,32,23,2
Process-18,4,2037,2037,2077,2,40,38,0
Process-19,2,703,703,712,3,9,6,0
Process-20,1,4287,4287,4321,1,34,33,0
Process-21,2,584,584,643,10,59,49,2
Process-22,4,1325,1325,1479,5,154,149,1
Process-23,4,9,9,22,9,13,4,2
Process-24,2,5015,5015,5148,9,133,124,2
Process-25,3,2927,2927,2933,6,6,0,1
Process-26,3,2895,2895,2897,1,2,1,0
Process-27,5,2597,2597,2607,1,10,9,0
Process-28,2,2782,2782,2801,2,19,17,0
Process-29,3,3236,3236,3281,4,45,41,0
Process-30,1,699,699,718,6,19,13,1
Process-31,4,1499,1499,1571,7,72,65,1
Process-32,3,4621,4621,4834,10,213,203,2
Process-33,5,74,74,121,10,47,37,2
Process-34,3,1687,1687,1751,5,64,59,1
Process-35,3,3335,3335,3369,2,34,32,0
Process-36,1,98,98,174,9,76,67,2
Process-37,5,903,903,904,1,1,0,0
Process-38,5,4090,4090,4101,4,11,7,0
Process-39,5,1853,1853,1928,4,75,71,0
Process-40,5,2716,2716,2743,4,27,23,0
Process-41,4,3381,3381,3509,10,128,118,2
Process-42,4,23,23,35,9,12,3,2
Process-43,4,2085,2085,2124,4,39,35,0
Process-44,3,4785,4785,4856,2,71,69,0
Process-45,5,4285,4285,4344,8,59,51,1
Process-46,1,4449,4449,4508,2,59,57,0
Process-47,5,1518,1518,1562,1,44,43,0
Process-48,5,4117,4117,4134,4,17,13,0
Process-49,4,3073,3073,3190,8,117,109,1
Process-50,1,3009,3009,3026,4,17,13,0
Process-51,2,3527,3527,3616,5,89,84,1
Process-52,4,1103,1103,1145,1,42,41,0
Process-53,5,981,981,1016,6,35,29,1
Process-54,1,1829,1829,1961,5,132,127,1
Process-55,3,865,865,894,10,29,19,2
Process-56,3,4748,4748,4818,1,70,69,0
Process-57,4,1157,1157,1210,4,53,49,0
Process-58,3,361,361,405,2,44,42,0
Process-59,3,734,734,763,7,29,22,1
Process-60,2,998,998,1053,6,55,49,1
Process-61,4,647,647,663,2,16,14,0
Process-62,4,3703,3703,3709,1,6,5,0
Process-63,4,3246,3246,3288,1,42,41,0
Process-64,5,656,656,670,1,14,13,0
Process-65,5,1557,1557,1635,5,78,73,1
Process-66,4,2362,2362,2383,5,21,16,1
Process-67,5,768,768,842,9,74,65,2
Process-68,3,222,222,275,1,53,52,0
Process-69,3,1699,1699,1773,8,74,66,1
Process-70,2,5010,5010,5049,1,39,38,0
Process-71,5,5162,5162,5211,3,49,46,0
Process-72,5,1738,1738,1785,2,47,45,0
Process-73,5,3953,3953,4005,8,52,44,1
Process-74,1,4492,4492,4651,8,159,151,1
Process-75,4,3388,3388,3544,10,156,146,2
Process-76,3,295,295,350,2,55,53,0
Process-77,5,1197,1197,1407,10,210,200,2
Process-78,5,4777,4777,4956,10,179,169,2
Process-79,1,212,212,315,5,103,98,1
Process-80,4,5279,5279,5309,1,30,29,0
Process-81,2,1104,1104,1152,3,48,45,0
Process-82,4,4338,4338,4402,7,64,57,1
Process-83,1,4062,4062,4073,2,11,9,0
Process-84,2,2812,2812,2839,9,27,18,2
Process-85,3,3536,3536,3588,4,52,48,0
Process-86,4,542,542,582,4,40,36,0
Process-87,3,3220,3220,3260,3,40,37,0
Process-88,2,4019,4019,4039,2,20,18,0
Process-89,3,704,704,740,9,36,27,2
Process-90,4,2542,2542,2558,5,16,11,1
Process-91,2,119,119,176,6,57,51,1
Process-92,5,2854,2854,2862,2,8,6,0
Process-93,4,376,376,417,2,41,39,0
Process-94,2,805,805,836,2,31,29,0
Process-95,4,3266,3266,3309,3,43,40,0
Process-96,5,2089,2089,2186,9,97,88,2
Process-97,5,117,117,177,5,60,55,1
Process-98,4,2858,2858,2869,7,11,4,1
Process-99,3,3392,3392,3490,8,98,90,1
Process-100,3,862,862,879,3,17,14,0
Process-101,5,715,715,731,2,16,14,0
Process-102,2,555,555,613,6,58,52,1
Process-103,2,315,315,415,6,100,94,1
