Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,1,3330,3330,3333,3,3,0,2
Process-2,1,5113,5113,5116,3,3,0,2
Process-3,1,2478,2478,2488,5,10,5,4
Process-4,1,3366,3366,3367,1,1,0,0
Process-5,3,2834,2834,2840,3,6,3,2
Process-6,3,5273,5273,5274,1,1,0,0
Process-7,2,104,104,107,3,3,0,2
Process-8,2,2636,2636,2639,3,3,0,2
Process-9,5,330,330,332,2,2,0,1
Process-10,1,4668,4668,4684,7,16,9,6
Process-11,3,4745,4745,4754,4,9,5,3
Process-12,5,5294,5294,5354,10,60,50,9
Process-13,5,1629,1629,1648,9,19,10,8
Process-14,4,2813,2813,2828,8,15,7,7
Process-15,2,325,325,329,4,4,0,3
Process-16,4,807,807,821,6,14,8,5
Process-17,3,4912,4912,4917,5,5,0,4
Process-18,4,2769,2769,2890,10,121,111,9
Process-19,1,2046,2046,2050,4,4,0,3
Process-20,1,2289,2289,2296,6,7,1,5
Process-21,3,478,478,499,9,21,12,8
Process-22,5,1116,1116,1124,8,8,0,7
Process-23,4,4592,4592,4598,4,6,2,3
Process-24,5,5471,5471,5475,4,4,0,3
Process-25,5,4432,4432,4440,6,8,2,5
Process-26,2,3451,3451,3457,6,6,0,5
Process-27,2,2778,2778,2784,3,6,3,2
Process-28,2,4698,4698,4701,3,3,0,2
Process-29,4,4033,4033,4034,1,1,0,0
Process-30,3,1841,1841,1873,10,32,22,9
Process-31,4,3802,3802,3824,8,22,14,7
Process-32,5,3266,3266,3284,7,18,11,6
Process-33,5,3658,3658,3666,7,8,1,6
Process-34,2,2752,2752,2755,3,3,0,2
Process-35,2,4369,4369,4371,2,2,0,1
Process-36,3,2970,2970,2978,8,8,0,7
Process-37,3,5455,5455,5460,5,5,0,4
Process-38,5,4368,4368,4377,6,9,3,5
Process-39,5,3789,3789,3795,3,6,3,2
Process-40,3,4419,4419,4428,5,9,4,4
Process-41,2,510,510,538,10,28,18,9
Process-42,2,3682,3682,3728,10,46,36,9
Process-43,4,2224,2224,2232,5,8,3,4
Process-44,1,1899,1899,1923,9,24,15,8
Process-45,3,2522,2522,2535,6,13,7,5
Process-46,4,4356,4356,4359,3,3,0,2
Process-47,3,3922,3922,3936,10,14,4,9
Process-48,1,3928,3928,4008,10,80,70,9
Process-49,5,460,460,469,7,9,2,6
Process-50,4,4392,4392,4400,5,8,3,4
Process-51,4,852,852,874,6,22,16,5
Process-52,2,3382,3382,3384,2,2,0,1
Process-53,1,3148,3148,3164,10,16,6,9
Process-54,4,1499,1499,1501,2,2,0,1
Process-55,3,3938,3938,3949,6,11,5,5
Process-56,1,5393,5393,5403,5,10,5,4
Process-57,1,1653,1653,1658,5,5,0,4
Process-58,1,4025,4025,4039,6,14,8,5
Process-59,1,5020,5020,5033,7,13,6,6
Process-60,3,62,62,65,3,3,0,2
Process-61,3,134,134,135,1,1,0,0
Process-62,1,3074,3074,3099,10,25,15,9
Process-63,3,730,730,739,6,9,3,5
Process-64,5,2619,2619,2631,6,12,6,5
Process-65,2,3930,3930,3943,7,13,6,6
Process-66,5,2457,2457,2463,3,6,3,2
Process-67,3,4886,4886,4902,10,16,6,9
Process-68,1,4471,4471,4481,6,10,4,5
Process-69,1,4742,4742,4762,6,20,14,5
Process-70,1,4760,4760,4769,6,9,3,5
Process-71,3,3148,3148,3150,2,2,0,1
Process-72,1,5372,5372,5379,7,7,0,6
Process-73,5,2721,2721,2730,9,9,0,8
Process-74,5,4159,4159,4172,8,13,5,7
Process-75,3,1968,1968,1974,6,6,0,5
Process-76,5,1086,1086,1092,6,6,0,5
Process-77,4,1752,1752,1760,6,8,2,5
Process-78,3,2982,2982,2991,8,9,1,7
Process-79,5,1068,1068,1078,8,10,2,7
Process-80,4,2285,2285,2308,8,23,15,7
Process-81,1,5069,5069,5078,6,9,3,5
Process-82,4,4615,4615,4651,8,36,28,7
Process-83,1,1343,1343,1388,10,45,35,9
Process-84,2,2405,2405,2428,7,23,16,6
Process-85,3,5439,5439,5455,10,16,6,9
Process-86,1,1468,1468,1471,3,3,0,2
Process-87,4,2669,2669,2670,1,1,0,0
Process-88,3,2495,2495,2527,8,32,24,7
Process-89,3,4845,4845,4848,3,3,0,2
Process-90,3,2226,2226,2244,7,18,11,6
Process-91,3,307,307,312,5,5,0,4
Process-92,3,834,834,889,8,55,47,7
Process-93,5,4145,4145,4158,4,13,9,3
Process-94,4,914,914,938,8,24,16,7
Process-95,2,2259,2259,2265,4,6,2,3
Process-96,1,3507,3507,3522,10,15,5,9
Process-97,4,3152,3152,3156,4,4,0,3
Process-98,3,3761,3761,3763,2,2,0,1
Process-99,4,1750,1750,1754,4,4,0,3
Process-100,5,5467,5467,5470,3,3,0,2
Process-101,5,565,565,567,2,2,0,1
Process-102,4,4021,4021,4022,1,1,0,0
Process-103,3,494,494,518,9,24,15,8
Process-104,5,2279,2279,2280,1,1,0,0
Process-105,5,921,921,930,6,9,3,5
Process-106,2,350,350,351,1,1,0,0
Process-107,1,4052,4052,4057,5,5,0,4
Process-108,1,4528,4528,4543,8,15,7,7
Process-109,3,2832,2832,2850,7,18,11,6
Process-110,2,1815,1815,1826,5,11,6,4
Process-111,1,2014,2014,2016,1,2,1,0
Process-112,4,4812,4812,4821,8,9,1,7
Process-113,2,4829,4829,4830,1,1,0,0
Process-114,5,1995,1995,2002,7,7,0,6
Process-115,2,3288,3288,3291,3,3,0,2
Process-116,2,1954,1954,1961,6,7,1,5
Process-117,4,2687,2687,2694,5,7,2,4
Process-118,2,1260,1260,1262,2,2,0,1
Process-119,5,5448,5448,5481,9,33,24,8
Process-120,5,1466,1466,1488,9,22,13,8
Process-121,4,3525,3525,3545,9,20,11,8
Process-122,3,1317,1317,1319,2,2,0,1
Process-123,1,276,276,282,3,6,3,2
Process-124,4,3821,3821,3831,7,10,3,6
Process-125,2,4372,4372,4373,1,1,0,0
Process-126,2,3816,3816,3819,3,3,0,2
Process-127,1,350,350,354,3,4,1,2
Process-128,4,1438,1438,1443,4,5,1,3
Process-129,3,4747,4747,4750,3,3,0,2
Process-130,1,3885,3885,3898,8,13,5,7
Process-131,1,5142,5142,5147,5,5,0,4
Process-132,1,4904,4904,4912,8,8,0,7
Process-133,5,682,682,689,6,7,1,5
Process-134,1,5290,5290,5295,5,5,0,4
Process-135,1,2750,2750,2793,9,43,34,8
Process-136,1,1975,1975,1981,6,6,0,5
Process-137,2,3852,3852,3854,2,2,0,1
Process-138,1,3576,3576,3584,8,8,0,7
Process-139,4,5291,5291,5327,10,36,26,9
Process-140,4,4077,4077,4081,4,4,0,3
