Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-134,1,5290,5290,5295,5,5,0,0
Process-135,1,2750,2750,2890,9,140,131,0
Process-136,1,1975,1975,1981,6,6,0,0
Process-137,2,3852,3852,3858,2,6,4,0
Process-138,1,3576,3576,3584,8,8,0,0
Process-139,4,5291,5291,5341,10,50,40,0
Process-140,4,4077,4077,4085,4,8,4,0
Process-141,4,1938,1938,1947,7,9,2,0
Process-142,3,4652,4652,4669,3,17,14,0
Process-143,2,2293,2293,2299,3,6,3,0
Process-144,3,3690,3690,3701,6,11,5,0
Process-145,2,2268,2268,2272,2,4,2,0
Process-146,4,1828,1828,1829,1,1,0,0
Process-147,3,3601,3601,3609,8,8,0,0
Process-148,5,1338,1338,1347,7,9,2,0
Process-149,5,1425,1425,1430,5,5,0,0
Process-150,2,4046,4046,4087,2,41,39,0
Process-151,5,4943,4943,4944,1,1,0,0
Process-152,2,5291,5291,5372,6,81,75,0
Process-153,3,805,805,826,5,21,16,0
Process-154,4,4767,4767,4778,6,11,5,0
Process-155,3,3000,3000,3003,3,3,0,0
Process-156,5,3655,3655,3659,4,4,0,0
Process-157,2,4237,4237,4238,1,1,0,0
Process-158,3,2968,2968,2969,1,1,0,0
Process-159,4,4756,4756,4765,8,9,1,0
Process-160,1,3770,3770,3786,10,16,6,0
Process-161,3,961,961,997,3,36,33,0
Process-162,5,2908,2908,2909,1,1,0,0
Process-163,2,135,135,145,10,10,0,0
Process-164,4,1695,1695,1701,6,6,0,0
Process-165,1,4655,4655,4709,7,54,47,0
Process-166,5,4337,4337,4345,8,8,0,0
Process-167,5,2647,2647,2661,10,14,4,0
Process-168,3,4656,4656,4666,8,10,2,0
Process-169,3,1320,1320,1328,8,8,0,0
Process-170,1,3397,3397,3407,7,10,3,0
Process-171,2,656,656,780,8,124,116,0
Process-172,1,1161,1161,1167,6,6,0,0
Process-173,5,89,89,96,7,7,0,0
Process-174,3,3113,3113,3116,3,3,0,0
Process-175,3,998,998,1013,7,15,8,0
Process-176,4,2978,2978,2983,5,5,0,0
Process-177,4,2715,2715,2718,3,3,0,0
Process-178,1,1557,1557,1585,8,28,20,0
Process-179,1,2,2,9,3,7,4,0
Process-180,5,4543,4543,4544,1,1,0,0
Process-181,3,1201,1201,1216,8,15,7,0
Process-182,5,1597,1597,1615,3,18,15,0
Process-183,3,947,947,953,2,6,4,0
Process-184,3,656,656,668,9,12,3,0
Process-185,1,708,708,905,2,197,195,0
Process-186,5,3927,3927,3953,10,26,16,0
Process-187,4,2223,2223,2240,9,17,8,0
Process-188,4,3778,3778,3803,7,25,18,0
Process-189,2,410,410,412,2,2,0,0
Process-190,4,5217,5217,5227,10,10,0,0
Process-191,3,2620,2620,2631,2,11,9,0
Process-192,5,5471,5471,5483,8,12,4,0
Process-193,1,5202,5202,5206,2,4,2,0
Process-194,5,3604,3604,3616,6,12,6,0
Process-195,4,1172,1172,1181,6,9,3,0
Process-196,3,884,884,899,10,15,5,0
Process-197,1,5186,5186,5204,8,18,10,0
Process-198,5,2341,2341,2348,6,7,1,0
Process-199,2,2922,2922,2929,7,7,0,0
Process-200,1,200,200,206,6,6,0,0
Process-201,2,4188,4188,4196,6,8,2,0
Process-202,2,467,467,476,9,9,0,0
Process-203,3,3678,3678,3690,7,12,5,0
Process-204,2,2606,2606,2618,1,12,11,0
Process-205,2,4495,4495,4505,6,10,4,0
Process-206,4,349,349,358,9,9,0,0
Process-207,3,474,474,534,1,60,59,0
Process-208,4,2521,2521,2525,2,4,2,0
Process-209,4,5313,5313,5331,10,18,8,0
Process-210,4,1632,1632,1641,1,9,8,0
Process-211,4,1028,1028,1034,5,6,1,0
