Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,1,3330,3330,3333,3,3,0,2
Process-2,1,5113,5113,5137,3,24,21,2
Process-3,1,2478,2478,2546,5,68,63,4
Process-4,1,3366,3366,3367,1,1,0,0
Process-5,3,2834,2834,2838,3,4,1,2
Process-6,3,5273,5273,5280,1,7,6,0
Process-7,2,104,104,107,3,3,0,2
Process-8,2,2636,2636,2639,3,3,0,2
Process-9,5,330,330,332,2,2,0,1
Process-10,1,4668,4668,4686,7,18,11,6
Process-11,3,4745,4745,4752,4,7,3,3
Process-12,5,5294,5294,5304,10,10,0,9
Process-13,5,1629,1629,1638,9,9,0,8
Process-14,4,2813,2813,2821,8,8,0,7
Process-15,2,325,325,340,4,15,11,3
Process-16,4,807,807,816,6,9,3,5
Process-17,3,4912,4912,4917,5,5,0,4
Process-18,4,2769,2769,2787,10,18,8,9
Process-19,1,2046,2046,2067,4,21,17,3
Process-20,1,2289,2289,2307,6,18,12,5
Process-21,3,478,478,518,9,40,31,8
Process-22,5,1116,1116,1124,8,8,0,7
Process-23,4,4592,4592,4604,4,12,8,3
Process-24,5,5471,5471,5475,4,4,0,3
Process-25,5,4432,4432,4438,6,6,0,5
Process-26,2,3451,3451,3463,6,12,6,5
Process-27,2,2778,2778,2810,3,32,29,2
Process-28,2,4698,4698,4701,3,3,0,2
Process-29,4,4033,4033,4053,1,20,19,0
Process-30,3,1841,1841,1851,10,10,0,9
Process-31,4,3802,3802,3810,8,8,0,7
Process-32,5,3266,3266,3273,7,7,0,6
Process-33,5,3658,3658,3665,7,7,0,6
Process-34,2,2752,2752,2847,3,95,92,2
Process-35,2,4369,4369,4377,2,8,6,1
Process-36,3,2970,2970,2978,8,8,0,7
Process-37,3,5455,5455,5467,5,12,7,4
Process-38,5,4368,4368,4374,6,6,0,5
Process-39,5,3789,3789,3792,3,3,0,2
Process-40,3,4419,4419,4424,5,5,0,4
Process-41,2,510,510,542,10,32,22,9
Process-42,2,3682,3682,3747,10,65,55,9
Process-43,4,2224,2224,2229,5,5,0,4
Process-44,1,1899,1899,1950,9,51,42,8
Process-45,3,2522,2522,2531,6,9,3,5
Process-46,4,4356,4356,4359,3,3,0,2
Process-47,3,3922,3922,3955,10,33,23,9
Process-48,1,3928,3928,4208,10,280,270,9
Process-49,5,460,460,467,7,7,0,6
Process-50,4,4392,4392,4397,5,5,0,4
Process-51,4,852,852,858,6,6,0,5
Process-52,2,3382,3382,3389,2,7,5,1
Process-53,1,3148,3148,3169,10,21,11,9
Process-54,4,1499,1499,1501,2,2,0,1
Process-55,3,3938,3938,3950,6,12,6,5
Process-56,1,5393,5393,5399,5,6,1,4
Process-57,1,1653,1653,1658,5,5,0,4
Process-58,1,4025,4025,4119,6,94,88,5
Process-59,1,5020,5020,5041,7,21,14,6
Process-60,3,62,62,71,3,9,6,2
Process-61,3,134,134,135,1,1,0,0
Process-62,1,3074,3074,3099,10,25,15,9
Process-63,3,730,730,768,6,38,32,5
Process-64,5,2619,2619,2625,6,6,0,5
Process-65,2,3930,3930,4020,7,90,83,6
Process-66,5,2457,2457,2460,3,3,0,2
Process-67,3,4886,4886,4900,10,14,4,9
Process-68,1,4471,4471,4487,6,16,10,5
Process-69,1,4742,4742,4755,6,13,7,5
Process-70,1,4760,4760,4780,6,20,14,5
Process-71,3,3148,3148,3150,2,2,0,1
Process-72,1,5372,5372,5385,7,13,6,6
Process-73,5,2721,2721,2730,9,9,0,8
Process-74,5,4159,4159,4167,8,8,0,7
Process-75,3,1968,1968,1974,6,6,0,5
Process-76,5,1086,1086,1092,6,6,0,5
Process-77,4,1752,1752,1764,6,12,6,5
Process-78,3,2982,2982,2991,8,9,1,7
Process-79,5,1068,1068,1084,8,16,8,7
Process-80,4,2285,2285,2293,8,8,0,7
Process-81,1,5069,5069,5173,6,104,98,5
Process-82,4,4615,4615,4631,8,16,8,7
Process-83,1,1343,1343,1388,10,45,35,9
Process-84,2,2405,2405,2457,7,52,45,6
Process-85,3,5439,5439,5500,10,61,51,9
