Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,4984,4984,4999,10,15,5,0
Process-2,4,5391,5391,5401,4,10,6,0
Process-3,5,4817,4817,4821,4,4,0,0
Process-4,1,1755,1755,1758,1,3,2,0
Process-5,4,2988,2988,2998,8,10,2,0
Process-6,4,1849,1849,1854,5,5,0,0
Process-7,2,3992,3992,3998,2,6,4,0
Process-8,5,5077,5077,5079,2,2,0,0
Process-9,3,3593,3593,3638,10,45,35,0
Process-10,4,51,51,58,7,7,0,0
Process-11,5,2508,2508,2509,1,1,0,0
Process-12,1,989,989,1010,8,21,13,0
Process-13,3,3316,3316,3318,1,2,1,0
Process-14,3,4508,4508,4531,10,23,13,0
Process-15,2,3189,3189,3227,10,38,28,0
Process-16,1,3825,3825,3830,4,5,1,0
Process-17,2,1331,1331,1337,6,6,0,0
Process-18,4,2511,2511,2527,8,16,8,0
Process-19,2,1729,1729,1732,3,3,0,0
Process-20,3,525,525,531,2,6,4,0
Process-21,5,2359,2359,2365,6,6,0,0
Process-22,3,3945,3945,4140,10,195,185,0
Process-23,3,1242,1242,1247,5,5,0,0
Process-24,2,4684,4684,4686,1,2,1,0
Process-25,4,5188,5188,5193,5,5,0,0
Process-26,4,2482,2482,2492,10,10,0,0
Process-27,4,5055,5055,5061,2,6,4,0
Process-28,3,1141,1141,1154,7,13,6,0
Process-29,1,4964,4964,4965,1,1,0,0
Process-30,5,5018,5018,5036,6,18,12,0
Process-31,1,4274,4274,4293,9,19,10,0
Process-32,1,938,938,963,5,25,20,0
Process-33,2,685,685,702,6,17,11,0
Process-34,2,3003,3003,3012,4,9,5,0
Process-35,5,4752,4752,4764,7,12,5,0
Process-36,3,2063,2063,2074,7,11,4,0
Process-37,1,1195,1195,1199,1,4,3,0
Process-38,5,1396,1396,1416,7,20,13,0
Process-39,5,3688,3688,3698,10,10,0,0
Process-40,4,3199,3199,3211,9,12,3,0
