Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-133,5,5442,5442,5446,4,4,0,0
Process-134,5,1972,1972,1978,6,6,0,1
Process-135,4,2294,2294,2302,8,8,0,1
Process-136,2,3189,3189,3193,4,4,0,0
Process-137,5,1176,1176,1182,6,6,0,1
Process-138,4,155,155,162,7,7,0,1
Process-139,4,3350,3350,3357,7,7,0,1
Process-140,1,3431,3431,3432,1,1,0,0
Process-141,4,2349,2349,2368,9,19,10,2
Process-142,3,1068,1068,1076,8,8,0,1
Process-143,3,3122,3122,3131,9,9,0,2
Process-144,3,2934,2934,2943,5,9,4,1
Process-145,2,3657,3657,3663,6,6,0,1
Process-146,4,2424,2424,2432,8,8,0,1
Process-147,1,1711,1711,1712,1,1,0,0
Process-148,4,5273,5273,5280,7,7,0,1
Process-149,2,1351,1351,1357,5,6,1,1
Process-150,1,1302,1302,1308,6,6,0,1
Process-151,3,14,14,17,3,3,0,0
Process-152,4,300,300,307,7,7,0,1
Process-153,4,3373,3373,3380,3,7,4,0
Process-154,3,4060,4060,4068,2,8,6,0
Process-155,1,5247,5247,5252,5,5,0,1
Process-156,4,2357,2357,2369,5,12,7,1
Process-157,1,4969,4969,4979,10,10,0,2
Process-158,1,5459,5459,5467,1,8,7,0
Process-159,2,705,705,710,5,5,0,1
Process-160,3,4043,4043,4046,3,3,0,0
Process-161,4,3089,3089,3096,7,7,0,1
Process-162,4,5080,5080,5085,5,5,0,1
Process-163,2,5050,5050,5058,8,8,0,1
Process-164,4,4357,4357,4367,10,10,0,2
Process-165,1,1458,1458,1461,3,3,0,0
Process-166,3,3815,3815,3820,5,5,0,1
Process-167,3,482,482,486,4,4,0,0
Process-168,4,2704,2704,2712,8,8,0,1
Process-169,1,5332,5332,5333,1,1,0,0
Process-170,2,2234,2234,2248,5,14,9,1
Process-171,3,3957,3957,3963,6,6,0,1
Process-172,4,4979,4979,4981,2,2,0,0
Process-173,1,710,710,720,10,10,0,2
Process-174,3,2070,2070,2087,10,17,7,2
Process-175,5,1883,1883,1888,5,5,0,1
Process-176,1,1405,1405,1410,5,5,0,1
Process-177,5,3441,3441,3450,9,9,0,2
Process-178,2,1597,1597,1599,2,2,0,0
Process-179,5,4657,4657,4661,4,4,0,0
Process-180,4,5168,5168,5171,3,3,0,0
Process-181,1,1860,1860,1861,1,1,0,0
Process-182,4,2659,2659,2664,1,5,4,0
Process-183,1,1063,1063,1065,2,2,0,0
Process-184,2,600,600,604,4,4,0,0
Process-185,2,495,495,501,6,6,0,1
Process-186,5,930,930,932,2,2,0,0
Process-187,1,1954,1954,1962,8,8,0,1
Process-188,2,4692,4692,4701,8,9,1,1
Process-189,1,3623,3623,3625,2,2,0,0
Process-190,2,2934,2934,2944,5,10,5,1
Process-191,3,2019,2019,2026,7,7,0,1
Process-192,2,4325,4325,4334,9,9,0,2
Process-193,4,1046,1046,1050,4,4,0,0
Process-194,2,5457,5457,5462,5,5,0,1
Process-195,1,1675,1675,1677,2,2,0,0
Process-196,4,2916,2916,2924,8,8,0,1
Process-197,3,742,742,753,9,11,2,2
Process-198,5,4046,4046,4049,3,3,0,0
Process-199,5,5010,5010,5011,1,1,0,0
Process-200,3,3180,3180,3181,1,1,0,0
