Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-134,1,1592,1592,1599,7,7,0,6
Process-135,1,2244,2244,2250,6,6,0,5
Process-136,5,5285,5285,5293,8,8,0,7
Process-137,1,991,991,995,2,4,2,1
Process-138,5,4614,4614,4619,5,5,0,4
Process-139,5,3349,3349,3363,6,14,8,5
Process-140,2,5029,5029,5034,4,5,1,3
Process-141,1,3597,3597,3599,2,2,0,1
Process-142,4,3829,3829,3833,4,4,0,3
Process-143,5,5129,5129,5147,10,18,8,9
Process-144,5,4898,4898,4920,8,22,14,7
Process-145,2,1977,1977,1980,3,3,0,2
Process-146,3,70,70,78,5,8,3,4
Process-147,4,2906,2906,2910,4,4,0,3
Process-148,3,2894,2894,2896,2,2,0,1
Process-149,3,815,815,835,9,20,11,8
Process-150,3,781,781,783,1,2,1,0
Process-151,5,5179,5179,5184,4,5,1,3
Process-152,5,3887,3887,3892,5,5,0,4
Process-153,5,5046,5046,5062,10,16,6,9
Process-154,2,742,742,748,6,6,0,5
Process-155,4,1131,1131,1150,9,19,10,8
Process-156,1,1509,1509,1513,4,4,0,3
Process-157,1,3138,3138,3148,8,10,2,7
Process-158,3,1765,1765,1770,4,5,1,3
Process-159,4,182,182,200,6,18,12,5
Process-160,1,28,28,40,7,12,5,6
Process-161,2,4802,4802,4813,8,11,3,7
Process-162,1,4653,4653,4658,5,5,0,4
Process-163,4,1294,1294,1298,3,4,1,2
Process-164,2,1988,1988,1999,7,11,4,6
Process-165,4,4782,4782,4793,7,11,4,6
Process-166,2,3679,3679,3689,6,10,4,5
Process-167,1,4956,4956,4960,2,4,2,1
Process-168,4,3126,3126,3140,7,14,7,6
Process-169,3,4325,4325,4335,8,10,2,7
Process-170,1,3953,3953,3956,3,3,0,2
Process-171,4,4443,4443,4449,4,6,2,3
Process-172,3,2084,2084,2090,6,6,0,5
Process-173,1,3916,3916,3931,10,15,5,9
Process-174,2,1650,1650,1659,9,9,0,8
Process-175,5,1749,1749,1757,8,8,0,7
Process-176,2,4889,4889,4892,3,3,0,2
Process-177,1,3643,3643,3655,7,12,5,6
Process-178,2,2980,2980,2989,6,9,3,5
Process-179,2,4226,4226,4242,10,16,6,9
Process-180,3,3736,3736,3744,7,8,1,6
Process-181,2,3120,3120,3130,10,10,0,9
Process-182,4,188,188,194,5,6,1,4
Process-183,3,5268,5268,5271,2,3,1,1
Process-184,2,1536,1536,1542,6,6,0,5
Process-185,3,1160,1160,1166,4,6,2,3
Process-186,3,4526,4526,4534,7,8,1,6
Process-187,5,2213,2213,2217,4,4,0,3
Process-188,3,4148,4148,4154,5,6,1,4
Process-189,3,781,781,787,4,6,2,3
Process-190,3,2792,2792,2794,2,2,0,1
Process-191,4,3510,3510,3517,7,7,0,6
Process-192,5,1260,1260,1268,6,8,2,5
Process-193,4,5085,5085,5086,1,1,0,0
Process-194,4,1820,1820,1852,9,32,23,8
Process-195,1,2184,2184,2192,6,8,2,5
Process-196,5,411,411,419,8,8,0,7
Process-197,5,4638,4638,4639,1,1,0,0
Process-198,4,3691,3691,3698,7,7,0,6
Process-199,3,928,928,931,3,3,0,2
Process-200,5,1987,1987,1992,5,5,0,4
Process-201,1,1469,1469,1475,6,6,0,5
Process-202,4,4916,4916,4925,5,9,4,4
Process-203,3,3658,3658,3673,9,15,6,8
Process-204,3,3227,3227,3229,2,2,0,1
Process-205,5,3909,3909,3911,2,2,0,1
Process-206,2,4528,4528,4545,7,17,10,6
Process-207,3,3373,3373,3383,10,10,0,9
Process-208,4,291,291,293,2,2,0,1
Process-209,5,3643,3643,3664,9,21,12,8
Process-210,5,346,346,354,8,8,0,7
Process-211,3,4893,4893,4900,7,7,0,6
Process-212,4,3258,3258,3276,6,18,12,5
Process-213,4,4311,4311,4319,4,8,4,3
Process-214,3,2196,2196,2198,2,2,0,1
Process-215,2,5224,5224,5232,4,8,4,3
Process-216,3,4081,4081,4090,9,9,0,8
Process-217,4,2645,2645,2647,2,2,0,1
Process-218,2,1787,1787,1805,7,18,11,6
Process-219,5,245,245,253,8,8,0,7
Process-220,3,1325,1325,1328,3,3,0,2
Process-221,4,4085,4085,4100,8,15,7,7
Process-222,5,1199,1199,1205,6,6,0,5
Process-223,1,4129,4129,4146,9,17,8,8
Process-224,2,4321,4321,4327,4,6,2,3
Process-225,2,3795,3795,3803,8,8,0,7
Process-226,1,3027,3027,3036,5,9,4,4
Process-227,2,4646,4646,4649,3,3,0,2
Process-228,4,4487,4487,4497,10,10,0,9
Process-229,4,3454,3454,3463,9,9,0,8
Process-230,2,1881,1881,1884,3,3,0,2
Process-231,3,2493,2493,2504,9,11,2,8
Process-232,1,5462,5462,5471,8,9,1,7
Process-233,2,3994,3994,4007,9,13,4,8
Process-234,5,2483,2483,2493,10,10,0,9
Process-235,4,5254,5254,5269,7,15,8,6
Process-236,3,1929,1929,1933,4,4,0,3
Process-237,4,4298,4298,4305,7,7,0,6
Process-238,1,81,81,89,7,8,1,6
Process-239,5,5459,5459,5463,3,4,1,2
Process-240,3,1278,1278,1286,8,8,0,7
Process-241,4,5035,5035,5045,5,10,5,4
Process-242,4,2926,2926,2935,8,9,1,7
Process-243,2,2408,2408,2431,10,23,13,9
Process-244,4,1787,1787,1793,4,6,2,3
Process-245,5,4530,4530,4538,4,8,4,3
Process-246,1,4204,4204,4214,10,10,0,9
Process-247,5,989,989,993,3,4,1,2
Process-248,1,3389,3389,3397,4,8,4,3
Process-249,5,2359,2359,2368,9,9,0,8
Process-250,4,2556,2556,2565,9,9,0,8
Process-251,1,4273,4273,4275,1,2,1,0
Process-252,5,4152,4152,4160,6,8,2,5
Process-253,2,2853,2853,2859,6,6,0,5
Process-254,5,3296,3296,3305,9,9,0,8
Process-255,5,2125,2125,2137,5,12,7,4
Process-256,4,1518,1518,1524,6,6,0,5
Process-257,3,2751,2751,2759,7,8,1,6
Process-258,3,2384,2384,2389,3,5,2,2
Process-259,5,3158,3158,3165,4,7,3,3
Process-260,1,4943,4943,4958,10,15,5,9
Process-261,3,2377,2377,2395,8,18,10,7
Process-262,5,1348,1348,1350,2,2,0,1
Process-263,5,1189,1189,1193,4,4,0,3
Process-264,2,1099,1099,1107,8,8,0,7
Process-265,4,598,598,608,10,10,0,9
Process-266,2,124,124,131,4,7,3,3
Process-267,3,1897,1897,1906,9,9,0,8
Process-268,4,4805,4805,4807,1,2,1,0
Process-269,3,625,625,630,5,5,0,4
Process-270,2,511,511,514,2,3,1,1
Process-271,4,5285,5285,5302,9,17,8,8
Process-272,4,4594,4594,4611,10,17,7,9
Process-273,2,791,791,801,10,10,0,9
Process-274,2,3086,3086,3094,4,8,4,3
Process-275,1,5450,5450,5460,7,10,3,6
Process-276,1,381,381,387,6,6,0,5
Process-277,1,3231,3231,3245,9,14,5,8
Process-278,2,3873,3873,3876,3,3,0,2
Process-279,4,4308,4308,4315,7,7,0,6
Process-280,1,20,20,21,1,1,0,0
Process-281,2,4946,4946,4951,5,5,0,4
Process-282,2,3623,3623,3624,1,1,0,0
Process-283,5,1802,1802,1812,5,10,5,4
Process-284,4,1557,1557,1562,4,5,1,3
Process-285,4,3336,3336,3346,8,10,2,7
Process-286,5,5370,5370,5374,4,4,0,3
Process-287,3,2820,2820,2828,4,8,4,3
Process-288,3,3680,3680,3684,4,4,0,3
Process-289,1,3994,3994,3998,3,4,1,2
Process-290,2,2911,2911,2912,1,1,0,0
Process-291,3,4804,4804,4806,2,2,0,1
Process-292,2,3701,3701,3706,5,5,0,4
Process-293,2,2718,2718,2725,7,7,0,6
Process-294,4,4036,4036,4049,10,13,3,9
Process-295,1,3341,3341,3357,9,16,7,8
Process-296,1,4401,4401,4418,10,17,7,9
Process-297,1,2331,2331,2338,5,7,2,4
Process-298,3,3641,3641,3648,7,7,0,6
Process-299,1,2058,2058,2060,2,2,0,1
Process-300,2,5386,5386,5390,4,4,0,3
Process-301,3,2921,2921,2926,5,5,0,4
Process-302,1,3261,3261,3270,5,9,4,4
Process-303,1,1246,1246,1248,2,2,0,1
Process-304,5,779,779,782,3,3,0,2
Process-305,3,2155,2155,2161,6,6,0,5
Process-306,4,978,978,982,4,4,0,3
Process-307,1,1043,1043,1051,8,8,0,7
Process-308,3,1158,1158,1162,4,4,0,3
Process-309,1,2177,2177,2203,9,26,17,8
Process-310,3,3263,3263,3282,6,19,13,5
Process-311,4,4123,4123,4125,2,2,0,1
Process-312,3,1367,1367,1378,10,11,1,9
Process-313,4,2536,2536,2547,5,11,6,4
Process-314,2,1013,1013,1023,5,10,5,4
Process-315,4,4966,4966,4968,2,2,0,1
Process-316,4,151,151,156,5,5,0,4
Process-317,3,5471,5471,5473,2,2,0,1
Process-318,1,2810,2810,2824,9,14,5,8
Process-319,3,5316,5316,5327,6,11,5,5
Process-320,1,4863,4863,4867,2,4,2,1
Process-321,3,4262,4262,4274,8,12,4,7
Process-322,5,1683,1683,1688,5,5,0,4
Process-323,1,4768,4768,4777,6,9,3,5
Process-324,3,352,352,358,4,6,2,3
Process-325,5,3495,3495,3497,2,2,0,1
Process-326,3,2976,2976,2983,7,7,0,6
Process-327,5,4696,4696,4699,3,3,0,2
Process-328,5,4399,4399,4408,7,9,2,6
Process-329,3,2736,2736,2744,8,8,0,7
Process-330,5,3180,3180,3181,1,1,0,0
Process-331,1,4112,4112,4119,7,7,0,6
Process-332,2,5441,5441,5453,9,12,3,8
Process-333,1,5393,5393,5397,4,4,0,3
Process-334,3,4639,4639,4642,3,3,0,2
Process-335,1,814,814,822,8,8,0,7
Process-336,3,3852,3852,3868,10,16,6,9
Process-337,5,1612,1612,1615,3,3,0,2
Process-338,2,4412,4412,4424,6,12,6,5
Process-339,3,744,744,774,8,30,22,7
Process-340,1,3916,3916,3919,3,3,0,2
Process-341,4,4431,4431,4438,7,7,0,6
Process-342,4,2589,2589,2591,2,2,0,1
Process-343,5,2312,2312,2315,3,3,0,2
Process-344,5,1004,1004,1018,10,14,4,9
Process-345,5,5006,5006,5013,7,7,0,6
Process-346,1,4902,4902,4907,5,5,0,4
Process-347,2,1220,1220,1224,4,4,0,3
Process-348,4,752,752,759,6,7,1,5
Process-349,5,174,174,178,4,4,0,3
Process-350,1,151,151,164,8,13,5,7
Process-351,2,3049,3049,3067,7,18,11,6
Process-352,2,866,866,867,1,1,0,0
Process-353,1,5443,5443,5446,3,3,0,2
Process-354,4,3495,3495,3502,5,7,2,4
Process-355,2,802,802,805,2,3,1,1
Process-356,1,3543,3543,3563,10,20,10,9
Process-357,3,3584,3584,3594,7,10,3,6
Process-358,4,4124,4124,4137,6,13,7,5
Process-359,3,1116,1116,1129,10,13,3,9
Process-360,1,4797,4797,4800,3,3,0,2
Process-361,5,2522,2522,2530,6,8,2,5
Process-362,2,1630,1630,1635,5,5,0,4
Process-363,5,1538,1538,1552,10,14,4,9
Process-364,3,1370,1370,1371,1,1,0,0
Process-365,2,2381,2381,2383,2,2,0,1
Process-366,2,4510,4510,4518,8,8,0,7
Process-367,4,2199,2199,2209,6,10,4,5
Process-368,3,3015,3015,3031,8,16,8,7
Process-369,3,4365,4365,4401,10,36,26,9
Process-370,2,192,192,209,9,17,8,8
Process-371,2,1580,1580,1584,4,4,0,3
Process-372,1,1755,1755,1762,5,7,2,4
Process-373,5,605,605,612,4,7,3,3
Process-374,5,2100,2100,2123,9,23,14,8
Process-375,4,918,918,922,4,4,0,3
Process-376,3,2021,2021,2023,2,2,0,1
Process-377,2,3972,3972,3975,3,3,0,2
Process-378,3,3729,3729,3737,8,8,0,7
Process-379,4,953,953,954,1,1,0,0
Process-380,2,3545,3545,3551,6,6,0,5
Process-381,1,2226,2226,2236,10,10,0,9
Process-382,1,5155,5155,5160,5,5,0,4
Process-383,4,1388,1388,1396,8,8,0,7
Process-384,1,2657,2657,2659,2,2,0,1
Process-385,1,3445,3445,3450,5,5,0,4
Process-386,5,3025,3025,3043,7,18,11,6
Process-387,3,122,122,127,5,5,0,4
Process-388,5,2965,2965,2969,4,4,0,3
Process-389,4,4573,4573,4574,1,1,0,0
Process-390,4,4838,4838,4842,4,4,0,3
Process-391,3,4740,4740,4750,10,10,0,9
Process-392,2,2367,2367,2369,1,2,1,0
Process-393,4,5322,5322,5337,10,15,5,9
Process-394,4,4259,4259,4266,7,7,0,6
Process-395,1,1792,1792,1798,5,6,1,4
Process-396,1,3194,3194,3201,7,7,0,6
Process-397,4,1228,1228,1236,8,8,0,7
Process-398,4,802,802,803,1,1,0,0
Process-399,2,3225,3225,3233,6,8,2,5
Process-400,2,5206,5206,5210,4,4,0,3
Process-401,5,1511,1511,1515,2,4,2,1
Process-402,1,4008,4008,4011,3,3,0,2
Process-403,3,4016,4016,4021,5,5,0,4
Process-404,4,2271,2271,2274,3,3,0,2
Process-405,5,3084,3084,3090,6,6,0,5
Process-406,4,5041,5041,5042,1,1,0,0
Process-407,1,2743,2743,2752,8,9,1,7
Process-408,5,2125,2125,2128,3,3,0,2
Process-409,2,3341,3341,3343,2,2,0,1
Process-410,5,4083,4083,4110,10,27,17,9
Process-411,3,1249,1249,1262,10,13,3,9
Process-412,1,3741,3741,3753,9,12,3,8
Process-413,3,4904,4904,4914,5,10,5,4
Process-414,3,884,884,894,10,10,0,9
Process-415,2,3377,3377,3393,9,16,7,8
Process-416,5,2322,2322,2325,3,3,0,2
Process-417,1,2120,2120,2132,6,12,6,5
Process-418,3,2787,2787,2791,4,4,0,3
Process-419,1,2426,2426,2428,2,2,0,1
Process-420,1,4342,4342,4344,2,2,0,1
Process-421,1,3182,3182,3190,8,8,0,7
Process-422,4,3188,3188,3193,3,5,2,2
Process-423,4,589,589,592,3,3,0,2
Process-424,5,682,682,695,9,13,4,8
Process-425,4,722,722,731,6,9,3,5
Process-426,5,5135,5135,5171,10,36,26,9
Process-427,5,614,614,621,7,7,0,6
Process-428,1,2423,2423,2425,2,2,0,1
Process-429,4,4907,4907,4909,2,2,0,1
Process-430,4,1190,1190,1197,4,7,3,3
Process-431,1,1151,1151,1153,2,2,0,1
Process-432,1,956,956,966,10,10,0,9
Process-433,2,5274,5274,5280,6,6,0,5
Process-434,1,4596,4596,4603,7,7,0,6
Process-435,3,1763,1763,1766,3,3,0,2
Process-436,1,3615,3615,3629,7,14,7,6
Process-437,1,5090,5090,5104,6,14,8,5
Process-438,2,1115,1115,1119,4,4,0,3
Process-439,3,1065,1065,1073,6,8,2,5
Process-440,3,5414,5414,5415,1,1,0,0
Process-441,4,4699,4699,4707,6,8,2,5
Process-442,3,5020,5020,5030,10,10,0,9
Process-443,3,1854,1854,1857,3,3,0,2
Process-444,5,4906,4906,4935,10,29,19,9
Process-445,1,96,96,106,10,10,0,9
Process-446,3,1410,1410,1418,8,8,0,7
Process-447,5,5128,5128,5137,9,9,0,8
Process-448,3,4110,4110,4112,2,2,0,1
Process-449,1,4491,4491,4503,6,12,6,5
Process-450,1,3889,3889,3900,8,11,3,7
Process-451,5,502,502,512,9,10,1,8
Process-452,1,3707,3707,3708,1,1,0,0
Process-453,3,3934,3934,3942,8,8,0,7
Process-454,2,2707,2707,2710,3,3,0,2
Process-455,5,2,2,9,7,7,0,6
Process-456,1,2725,2725,2731,6,6,0,5
Process-457,3,1434,1434,1437,3,3,0,2
Process-458,2,4700,4700,4702,2,2,0,1
Process-459,4,5151,5151,5228,10,77,67,9
Process-460,3,1596,1596,1605,6,9,3,5
Process-461,5,1724,1724,1730,6,6,0,5
Process-462,1,5188,5188,5259,10,71,61,9
Process-463,5,3550,3550,3555,4,5,1,3
Process-464,5,3810,3810,3812,2,2,0,1
Process-465,5,2102,2102,2107,5,5,0,4
Process-466,1,551,551,552,1,1,0,0
Process-467,3,2232,2232,2243,7,11,4,6
Process-468,1,78,78,82,4,4,0,3
Process-469,1,1246,1246,1252,4,6,2,3
Process-470,1,5169,5169,5206,9,37,28,8
Process-471,4,3471,3471,3479,8,8,0,7
Process-472,5,1631,1631,1650,9,19,10,8
Process-473,4,2605,2605,2607,2,2,0,1
Process-474,4,5033,5033,5039,5,6,1,4
Process-475,1,2333,2333,2335,2,2,0,1
Process-476,3,444,444,452,7,8,1,6
Process-477,5,1472,1472,1485,10,13,3,9
Process-478,1,931,931,936,5,5,0,4
Process-479,5,4226,4226,4232,6,6,0,5
Process-480,2,4553,4553,4557,4,4,0,3
Process-481,4,4241,4241,4252,10,11,1,9
Process-482,3,4855,4855,4865,10,10,0,9
Process-483,2,5059,5059,5070,8,11,3,7
Process-484,5,32,32,51,8,19,11,7
Process-485,5,1205,1205,1208,3,3,0,2
Process-486,4,708,708,711,3,3,0,2
Process-487,2,3237,3237,3240,3,3,0,2
Process-488,1,3612,3612,3621,9,9,0,8
Process-489,1,3797,3797,3817,8,20,12,7
Process-490,1,3031,3031,3053,10,22,12,9
Process-491,3,186,186,189,2,3,1,1
Process-492,2,644,644,652,8,8,0,7
Process-493,4,3619,3619,3641,9,22,13,8
Process-494,5,5456,5456,5492,10,36,26,9
Process-495,4,5471,5471,5482,9,11,2,8
Process-496,3,223,223,226,3,3,0,2
Process-497,2,2047,2047,2050,3,3,0,2
Process-498,3,182,182,183,1,1,0,0
Process-499,2,5099,5099,5110,6,11,5,5
Process-500,3,2601,2601,2610,7,9,2,6
Process-501,2,3841,3841,3858,10,17,7,9
Process-502,3,3638,3638,3639,1,1,0,0
Process-503,5,2505,2505,2524,10,19,9,9
Process-504,2,4145,4145,4147,1,2,1,0
Process-505,5,3129,3129,3133,3,4,1,2
Process-506,2,1016,1016,1031,8,15,7,7
Process-507,1,1241,1241,1242,1,1,0,0
Process-508,4,5170,5170,5176,5,6,1,4
Process-509,5,1572,1572,1576,4,4,0,3
Process-510,5,676,676,686,9,10,1,8
Process-511,3,1312,1312,1324,7,12,5,6
Process-512,1,3582,3582,3587,5,5,0,4
Process-513,3,2137,2137,2139,2,2,0,1
Process-514,5,5425,5425,5427,2,2,0,1
Process-515,2,4497,4497,4510,7,13,6,6
Process-516,3,586,586,598,9,12,3,8
Process-517,1,4031,4031,4035,4,4,0,3
Process-518,1,2383,2383,2386,3,3,0,2
Process-519,1,5190,5190,5194,3,4,1,2
Process-520,2,805,805,813,8,8,0,7
Process-521,1,2846,2846,2853,7,7,0,6
Process-522,1,3804,3804,3808,4,4,0,3
Process-523,5,2989,2989,3002,10,13,3,9
Process-524,4,2393,2393,2401,6,8,2,5
Process-525,5,2469,2469,2471,2,2,0,1
Process-526,1,1485,1485,1490,5,5,0,4
Process-527,3,1422,1422,1423,1,1,0,0
Process-528,5,830,830,831,1,1,0,0
Process-529,3,256,256,260,4,4,0,3
Process-530,1,1913,1913,1915,2,2,0,1
Process-531,1,1803,1803,1807,2,4,2,1
Process-532,4,2808,2808,2815,7,7,0,6
Process-533,1,174,174,187,8,13,5,7
Process-534,4,2826,2826,2832,4,6,2,3
