Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,3155,3155,3161,6,6,0,0
Process-2,3,2774,2774,2776,2,2,0,0
Process-3,3,3841,3841,3858,7,17,10,0
Process-4,2,5073,5073,5079,6,6,0,0
Process-5,2,44,44,51,3,7,4,0
Process-6,5,4671,4671,4675,4,4,0,0
Process-7,5,4526,4526,4542,8,16,8,0
Process-8,2,837,837,842,5,5,0,0
Process-9,3,3956,3956,3957,1,1,0,0
Process-10,2,4456,4456,4474,10,18,8,0
Process-11,1,5143,5143,5163,6,20,14,0
Process-12,2,5175,5175,5199,4,24,20,0
Process-13,4,2007,2007,2018,9,11,2,0
Process-14,2,3757,3757,3763,1,6,5,0
Process-15,3,141,141,144,3,3,0,0
Process-16,5,2926,2926,2935,1,9,8,0
Process-17,1,4944,4944,4963,10,19,9,0
Process-18,2,4884,4884,4887,3,3,0,0
Process-19,5,298,298,302,4,4,0,0
Process-20,4,4404,4404,4428,10,24,14,0
Process-21,4,4441,4441,4460,5,19,14,0
Process-22,3,5089,5089,5105,4,16,12,0
Process-23,2,4959,4959,4973,3,14,11,0
Process-24,3,1169,1169,1178,9,9,0,0
Process-25,1,390,390,392,2,2,0,0
Process-26,3,1954,1954,1957,3,3,0,0
Process-27,2,746,746,761,5,15,10,0
Process-28,3,4689,4689,4695,2,6,4,0
Process-29,3,3192,3192,3202,9,10,1,0
Process-30,3,166,166,171,5,5,0,0
Process-31,2,633,633,643,10,10,0,0
Process-32,3,4609,4609,4620,9,11,2,0
Process-33,3,2864,2864,2865,1,1,0,0
Process-34,1,545,545,549,4,4,0,0
Process-35,2,1210,1210,1219,9,9,0,0
Process-36,3,2794,2794,2800,6,6,0,0
Process-37,3,720,720,725,5,5,0,0
Process-38,1,4964,4964,4979,6,15,9,0
Process-39,5,4556,4556,4573,9,17,8,0
Process-40,5,5392,5392,5401,9,9,0,0
Process-41,2,1353,1353,1355,2,2,0,0
Process-42,2,2057,2057,2063,6,6,0,0
Process-43,3,2529,2529,2538,8,9,1,0
Process-44,2,4860,4860,4874,9,14,5,0
Process-45,4,2338,2338,2339,1,1,0,0
Process-46,2,5013,5013,5015,2,2,0,0
Process-47,4,504,504,512,1,8,7,0
Process-48,3,5224,5224,5249,7,25,18,0
Process-49,2,4314,4314,4323,4,9,5,0
Process-50,4,5314,5314,5321,7,7,0,0
Process-51,2,1725,1725,1736,6,11,5,0
Process-52,1,208,208,214,5,6,1,0
Process-53,5,1000,1000,1008,8,8,0,0
Process-54,5,732,732,742,10,10,0,0
Process-55,5,271,271,274,3,3,0,0
Process-56,2,4672,4672,4679,4,7,3,0
Process-57,1,2145,2145,2151,6,6,0,0
Process-58,2,4433,4433,4455,7,22,15,0
Process-59,5,3235,3235,3249,7,14,7,0
Process-60,5,2366,2366,2377,9,11,2,0
Process-61,4,3108,3108,3110,2,2,0,0
Process-62,1,5230,5230,5255,6,25,19,0
Process-63,1,1915,1915,1917,2,2,0,0
Process-64,2,967,967,973,6,6,0,0
Process-65,5,2655,2655,2664,9,9,0,0
Process-66,1,3146,3146,3150,2,4,2,0
Process-67,2,2206,2206,2213,4,7,3,0
Process-68,1,330,330,335,5,5,0,0
Process-69,2,1635,1635,1650,6,15,9,0
Process-70,5,1124,1124,1138,9,14,5,0
Process-71,2,5196,5196,5234,1,38,37,0
Process-72,4,4363,4363,4382,10,19,9,0
Process-73,2,1937,1937,1943,6,6,0,0
Process-74,1,5249,5249,5259,4,10,6,0
Process-75,3,1376,1376,1388,10,12,2,0
Process-76,2,37,37,48,1,11,10,0
Process-77,3,5186,5186,5207,4,21,17,0
Process-78,3,412,412,429,10,17,7,0
Process-79,4,1300,1300,1306,6,6,0,0
Process-80,5,4683,4683,4693,4,10,6,0
Process-81,3,4965,4965,4985,6,20,14,0
Process-82,1,4723,4723,4726,3,3,0,0
Process-83,1,5083,5083,5093,10,10,0,0
Process-84,1,2929,2929,2944,9,15,6,0
Process-85,3,4091,4091,4110,2,19,17,0
Process-86,2,5163,5163,5181,3,18,15,0
Process-87,5,4982,4982,4992,5,10,5,0
Process-88,2,3316,3316,3324,1,8,7,0
Process-89,3,4676,4676,4689,10,13,3,0
Process-90,4,2176,2176,2186,10,10,0,0
Process-91,1,3049,3049,3060,7,11,4,0
Process-92,4,5040,5040,5051,7,11,4,0
Process-93,3,4488,4488,4506,9,18,9,0
Process-94,1,443,443,445,2,2,0,0
Process-95,5,1171,1171,1179,1,8,7,0
Process-96,2,4191,4191,4199,8,8,0,0
Process-97,5,1834,1834,1852,2,18,16,0
Process-98,4,1287,1287,1295,8,8,0,0
Process-99,1,2091,2091,2099,8,8,0,0
Process-100,3,2444,2444,2447,3,3,0,0
Process-101,5,1781,1781,1789,8,8,0,0
Process-102,4,2988,2988,2992,3,4,1,0
Process-103,1,4359,4359,4372,7,13,6,0
Process-104,2,1524,1524,1528,4,4,0,0
Process-105,3,4413,4413,4441,7,28,21,0
Process-106,5,312,312,320,8,8,0,0
Process-107,4,3749,3749,3762,9,13,4,0
Process-108,3,667,667,677,10,10,0,0
Process-109,1,4146,4146,4158,2,12,10,0
Process-110,4,1143,1143,1150,3,7,4,0
Process-111,4,1661,1661,1662,1,1,0,0
Process-112,1,4770,4770,4786,9,16,7,0
Process-113,4,3258,3258,3264,6,6,0,0
Process-114,4,2400,2400,2410,9,10,1,0
Process-115,5,4217,4217,4224,7,7,0,0
Process-116,1,4823,4823,4832,9,9,0,0
Process-117,3,4565,4565,4578,5,13,8,0
Process-118,4,3326,3326,3328,2,2,0,0
Process-119,3,2098,2098,2109,10,11,1,0
Process-120,5,1053,1053,1062,9,9,0,0
Process-121,3,4119,4119,4129,10,10,0,0
Process-122,4,1308,1308,1317,9,9,0,0
Process-123,3,2496,2496,2514,2,18,16,0
Process-124,4,5429,5429,5432,3,3,0,0
Process-125,2,488,488,497,9,9,0,0
Process-126,1,4380,4380,4401,8,21,13,0
Process-127,1,1431,1431,1432,1,1,0,0
Process-128,4,3510,3510,3520,10,10,0,0
Process-129,1,129,129,138,7,9,2,0
Process-130,4,2491,2491,2503,10,12,2,0
Process-131,1,843,843,846,3,3,0,0
Process-132,1,1350,1350,1352,2,2,0,0
Process-133,4,1867,1867,1873,6,6,0,0
Process-134,1,1592,1592,1599,7,7,0,0
Process-135,1,2244,2244,2250,6,6,0,0
Process-136,5,5285,5285,5302,8,17,9,0
Process-137,1,991,991,995,2,4,2,0
Process-138,5,4614,4614,4625,5,11,6,0
Process-139,5,3349,3349,3361,6,12,6,0
Process-140,2,5029,5029,5034,4,5,1,0
Process-141,1,3597,3597,3599,2,2,0,0
Process-142,4,3829,3829,3833,4,4,0,0
Process-143,5,5129,5129,5147,10,18,8,0
Process-144,5,4898,4898,4908,8,10,2,0
Process-145,2,1977,1977,1980,3,3,0,0
Process-146,3,70,70,75,5,5,0,0
Process-147,4,2906,2906,2910,4,4,0,0
Process-148,3,2894,2894,2896,2,2,0,0
Process-149,3,815,815,831,9,16,7,0
Process-150,3,781,781,783,1,2,1,0
Process-151,5,5179,5179,5203,4,24,20,0
Process-152,5,3887,3887,3892,5,5,0,0
Process-153,5,5046,5046,5062,10,16,6,0
Process-154,2,742,742,748,6,6,0,0
Process-155,4,1131,1131,1147,9,16,7,0
Process-156,1,1509,1509,1513,4,4,0,0
Process-157,1,3138,3138,3148,8,10,2,0
Process-158,3,1765,1765,1770,4,5,1,0
Process-159,4,182,182,193,6,11,5,0
Process-160,1,28,28,39,7,11,4,0
Process-161,2,4802,4802,4810,8,8,0,0
Process-162,1,4653,4653,4658,5,5,0,0
Process-163,4,1294,1294,1298,3,4,1,0
Process-164,2,1988,1988,1999,7,11,4,0
Process-165,4,4782,4782,4793,7,11,4,0
Process-166,2,3679,3679,3685,6,6,0,0
Process-167,1,4956,4956,4970,2,14,12,0
Process-168,4,3126,3126,3137,7,11,4,0
Process-169,3,4325,4325,4335,8,10,2,0
Process-170,1,3953,3953,3956,3,3,0,0
Process-171,4,4443,4443,4464,4,21,17,0
Process-172,3,2084,2084,2090,6,6,0,0
Process-173,1,3916,3916,3926,10,10,0,0
Process-174,2,1650,1650,1659,9,9,0,0
Process-175,5,1749,1749,1757,8,8,0,0
Process-176,2,4889,4889,4892,3,3,0,0
Process-177,1,3643,3643,3655,7,12,5,0
Process-178,2,2980,2980,2989,6,9,3,0
Process-179,2,4226,4226,4236,10,10,0,0
Process-180,3,3736,3736,3744,7,8,1,0
Process-181,2,3120,3120,3130,10,10,0,0
Process-182,4,188,188,200,5,12,7,0
Process-183,3,5268,5268,5271,2,3,1,0
Process-184,2,1536,1536,1542,6,6,0,0
Process-185,3,1160,1160,1166,4,6,2,0
Process-186,3,4526,4526,4534,7,8,1,0
Process-187,5,2213,2213,2217,4,4,0,0
Process-188,3,4148,4148,4163,5,15,10,0
Process-189,3,781,781,787,4,6,2,0
Process-190,3,2792,2792,2794,2,2,0,0
Process-191,4,3510,3510,3527,7,17,10,0
Process-192,5,1260,1260,1268,6,8,2,0
Process-193,4,5085,5085,5094,1,9,8,0
Process-194,4,1820,1820,1845,9,25,16,0
Process-195,1,2184,2184,2201,6,17,11,0
Process-196,5,411,411,419,8,8,0,0
Process-197,5,4638,4638,4639,1,1,0,0
Process-198,4,3691,3691,3698,7,7,0,0
Process-199,3,928,928,931,3,3,0,0
Process-200,5,1987,1987,1992,5,5,0,0
Process-201,1,1469,1469,1475,6,6,0,0
Process-202,4,4916,4916,4935,5,19,14,0
Process-203,3,3658,3658,3673,9,15,6,0
Process-204,3,3227,3227,3233,2,6,4,0
